cell_id,role,n_cal,alpha,status,reference,finite_mean_coverage,finite_population_sd_coverage,finite_severe_tail_probability,distinct_numerical_quantiles,ks_distance,signed_mean_difference,signed_severe_tail_difference,signed_population_sd_difference,wasserstein_1
n10_alpha_0.1,primary,10,0.1,evaluated,continuous_beta,0.9521544233330161,0.04054542081539288,0.002313728120179733,31.0,0.32649295280585927,0.04306351424210708,-0.10506045427982032,-0.04244284547326865,0.044054803572956144
n10_alpha_0.1,primary,10,0.1,evaluated,beta_binomial,0.9521544233330161,0.04054542081539288,0.002313728120179733,31.0,0.30047382829029257,0.04306351424212618,-0.10611429879526653,-0.04688814310129398,0.04489698658016488
n15_alpha_0.1,primary,15,0.1,evaluated,continuous_beta,0.9678092155195357,0.025907675265621224,3.250448189269101e-05,26.0,0.4004576668695826,0.030309215519535693,-0.035151867606939335,-0.03280085202361154,0.031741436906395304
n15_alpha_0.1,primary,15,0.1,evaluated,beta_binomial,0.9678092155195357,0.025907675265621224,3.250448189269101e-05,26.0,0.33440337532500675,0.030309215519503052,-0.03874697268559929,-0.03732334374171403,0.03291791117171125
n20_alpha_0.1,primary,20,0.1,evaluated,continuous_beta,0.9496022706458456,0.024826437257359415,5.01057230756897e-06,21.0,0.4711175950122233,0.0448403658839408,-0.06917027970410339,-0.03775725233052353,0.04746431458124949
n20_alpha_0.1,primary,20,0.1,evaluated,beta_binomial,0.9496022706458456,0.024826437257359415,5.01057230756897e-06,21.0,0.43117945459350054,0.04484036588393825,-0.0762920646425772,-0.04401562128931166,0.04938603291216049
n30_alpha_0.1,primary,30,0.1,evaluated,continuous_beta,0.9504140801280769,0.020124246742726667,0.0,11.0,0.5591722314036564,0.047188273676464054,-0.04417898515199711,-0.0321397911476593,0.048208630419240776
n30_alpha_0.1,primary,30,0.1,evaluated,beta_binomial,0.9504140801280769,0.020124246742726667,0.0,11.0,0.5059265075622882,0.04718827367644751,-0.055554178834365815,-0.0396946787755085,0.04978397853469007
n20_alpha_0.05,sensitivity,20,0.05,evaluated,continuous_beta,0.9759965767877214,0.01833475797154726,0.00021795989537925023,21.0,0.4284097275421316,0.02361562440676912,-0.038541571189135086,-0.02706822246871904,0.025494468999269968
n20_alpha_0.05,sensitivity,20,0.05,evaluated,beta_binomial,0.9759965767877214,0.01833475797154726,0.00021795989537925023,21.0,0.3619653858936013,0.023615624406767677,-0.043135284055797064,-0.03160852051274581,0.02694895774010268
n30_alpha_0.05,sensitivity,30,0.05,evaluated,continuous_beta,0.9846880205090781,0.0096933661805563,1.1797175484382116e-09,11.0,0.4897003733882802,0.016946085025207114,-0.0076307584150719365,-0.021540370482406743,0.01967533468032959
n30_alpha_0.05,sensitivity,30,0.05,evaluated,beta_binomial,0.9846880205090781,0.0096933661805563,1.1797175484382116e-09,11.0,0.3403398926654899,0.016946085025174695,-0.011075629547983211,-0.02605527939896267,0.021561469640592128
n10_alpha_0.05,sensitivity,10,0.05,not_evaluated_due_to_unattainable_finite_rank,not_evaluated,,,,,,,,,
n15_alpha_0.05,sensitivity,15,0.05,not_evaluated_due_to_unattainable_finite_rank,not_evaluated,,,,,,,,,
n40_alpha_0.1,excluded,40,0.1,not_evaluated_due_to_degenerate_full_reservoir_subset,not_evaluated,,,,,,,,,
n40_alpha_0.05,excluded,40,0.05,not_evaluated_due_to_degenerate_full_reservoir_subset,not_evaluated,,,,,,,,,
