experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,source,evaluation_unit,status,endpoint_rows
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,FD001,engine_endpoint,OFFICIAL,100
C01,FD001,primary,37,C01_2be1b54b5531_seed_37,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,a9355fd94d2ce84839357b8ab38edc6ae35e76d07bb77ca1a03c10419976af51,08550b2b1cd1ba57e2d0ed6e455d1d0bd1e2c80b817d14c79595d17626e8e274,a6b46afa5f636946a96f2e66c1086a6ed199f9fa08d822ed349bb0504ce2e856,FD001,engine_endpoint,OFFICIAL,100
C01,FD001,primary,73,C01_2be1b54b5531_seed_73,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,903611b974210b16e91683c1d9c1a6483a53d4e25c5ad529365519937973ed39,eb937b78ec5e39e2e3fb9f45416d313f10b7d883c7dfb6770d7ec2cb51bbe5ba,dc046569c64b7afa40f21805fa85a27d0653cdf6fce4129dc526fa61d96ac5f2,FD001,engine_endpoint,OFFICIAL,100
C01,FD001,primary,101,C01_2be1b54b5531_seed_101,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3f282d374345005e8612fc85667395954bfa3906596dadf34abef4c2af0eb3f1,cd7f5d23b1f24919d20c3df89ff74a65ef0be147d7a4158970397ad8a095ef05,09dd1667074d3c8f91cc5f101020a76c60cc188df77bb1286fd8c8df92951bbe,FD001,engine_endpoint,OFFICIAL,100
C01,FD001,primary,137,C01_2be1b54b5531_seed_137,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,24a8d256f1501334a265567102faf3c1f44160198b4356a4ffb2cb6583624a4f,91e1f12a30aa19d9e1a00d7f94fcca92d6650270f91be522cf78a91541852eea,3b3c50762d27d06d3c599e3cac3db950d5724f629ade5fe90eda72a5493f3f99,FD001,engine_endpoint,OFFICIAL,100
C02,FD001,primary,13,C02_319975dc35d2_seed_13,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,173c7c6015ef10ccac339fcd5466a29de1f7adf67a7ef554e967c34bfe8fa28e,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,FD001,engine_endpoint,OFFICIAL,100
C02,FD001,primary,37,C02_319975dc35d2_seed_37,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,536c1461374bad8862ab1d77b3e674813d9dbb273d08748a9a6f617ca477a771,f5b5f73097f0a2ac483a61053269a371a64483c489b1d52c97f5eaa8b2b5286b,23275cff27eb5b512c01f0a49522c5bc1e4e3bdce4bd30f305eb4f9f47f1dcbc,FD001,engine_endpoint,OFFICIAL,100
C02,FD001,primary,73,C02_319975dc35d2_seed_73,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,569404e36c7a8a6169e85db0470a213cb734c1c7afd0556f4b129a180a6493be,613fa44d33849f6b23715d72e4d09a88a67de273292866c9230aa77dc5588758,f701a1019e02448476409f9ecb8287c4ab5be7a0f14e3bddfda1047fba589e3a,FD001,engine_endpoint,OFFICIAL,100
C02,FD001,primary,101,C02_319975dc35d2_seed_101,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,b391e6f4aaef88de3a6cd942787c0147784a3d78a639a0d29966320343cd8a56,4c2994db94e3c762fb7f0f07c795605798803e7af895e43e5418f10d0f758914,fcae4c5ac578f2ef505f00144ba3f266c2a458127cc6f5a90d1e81f20eb73404,FD001,engine_endpoint,OFFICIAL,100
C02,FD001,primary,137,C02_319975dc35d2_seed_137,outputs/c02_final_review_319975d,319975dc35d27f4edba0be75ccef69cb92077127,5f4a5052cf528dbe40eee83320e2c57b04f876b9f51959d7c3bd20f9d4a93b46,37046e2fcddc31f51289a10671417f20ac78af907fe31058677d67f023b6978a,4e36384a59d97d4c372d4f2fadea4dedd41c345467d6c61a4b060e1ef540ab7a,FD001,engine_endpoint,OFFICIAL,100
C03,FD001,primary,13,C03_b542ee03a95a_seed_13,outputs/c03_final_review_b542ee0,b542ee03a95a4e43fc142a2ae8cafb02ef6ca7e3,b78efe5d3564b9333206b23fc40ea1fb3e6819a5d530807f515fc995b6882525,01147b0f67756a50e7276a9cadbb21c354939fb0263c7927025209a4a1a721f6,fedb734c696ff5704c862b80fae9cee048402b09b31bcd0d2b7b3115ba716426,FD001,engine_endpoint,OFFICIAL,100
C03,FD001,primary,37,C03_b542ee03a95a_seed_37,outputs/c03_final_review_b542ee0,b542ee03a95a4e43fc142a2ae8cafb02ef6ca7e3,a6ccba12f6993f56a630b70fa9643196cec57149bbf009b551f6828251a18d94,9580f12311b6822cde00450980ae63d80fd968d96cc01903501427bede649075,d8257c4c6a8559f142df9a77c767e37d99d2c49b62307882d71d1f0f3594e280,FD001,engine_endpoint,OFFICIAL,100
C03,FD001,primary,73,C03_b542ee03a95a_seed_73,outputs/c03_final_review_b542ee0,b542ee03a95a4e43fc142a2ae8cafb02ef6ca7e3,1d0608fa177cc8dc310ee8077887364dbb589d0fd33e39702ef6c5a4e1a586e4,9b3cec6d351c16f1e11fde9cff34815f8f4fa0cfcf42b073e999e63ec680ad8b,55ff69d0b3cd9c40711680c61631ec7793ccbbd4b05e139f1ecbb0b1dbe14bc7,FD001,engine_endpoint,OFFICIAL,100
C03,FD001,primary,101,C03_b542ee03a95a_seed_101,outputs/c03_final_review_b542ee0,b542ee03a95a4e43fc142a2ae8cafb02ef6ca7e3,fe5f690f2aaa659873f4d9c65553e2dc0ad769d6878e9169ca146d4df114df4e,9a02140f6cfd137c02a89357db5bda1a95a4475e76b6ad2a78f7f926f4d0c844,846ba95a93b82e8754901a4afeda346afe83620b583e8c45b058d53751a5b0b7,FD001,engine_endpoint,OFFICIAL,100
C03,FD001,primary,137,C03_b542ee03a95a_seed_137,outputs/c03_final_review_b542ee0,b542ee03a95a4e43fc142a2ae8cafb02ef6ca7e3,e1f74c67b7907a280ece2395698e9e04d07db4885a189f5a10d9346d67d7ead7,73d3732d2f3958d01c31437bbd449bb0dcfcb4f2ac1849f8cbf65ef714e3aadd,2df61594f08aa0d2ea49f90da2a32e40f60ba2b651427bdf14d7d641f9aad600,FD001,engine_endpoint,OFFICIAL,100
C04,FD001,primary,13,C04_FD001_3bf92063fd99_seed_13,outputs/c04_final_hardened_3bf9206,3bf92063fd99e23b7cbdf6a439a2fc4344807710,0eb89ab2ad1ed2cf44330f86f852d0bdb0a7aa8fd86ba72ba06e772600daf7fa,70a7464b894a3de7480f56e482d78f1969cf2696d9e85f126e85e2f0febe957e,1ae8580aa20bde21a30a4dc92458ea89f9e85d1c8750ea6b112888e5b8f5bf5b,FD001,engine_endpoint,OFFICIAL,100
