experiment_id,target,condition,seed,run_id,artifact_root,source_git_sha,manifest_sha256,predictions_sha256,metrics_sha256,model,prediction_variant,metric,value,metric_status,n_endpoints,stored_metric_match
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,raw,rmse,42.6972574249317,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,raw,mae,35.9,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,raw,signed_error,9.807455919395451,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,raw,nasa_score,29107.961611339386,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,clipped,rmse,41.523325339842316,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,clipped,mae,34.83,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,clipped,signed_error,10.877455919395459,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,mean,clipped,nasa_score,28799.55497154869,reconstructed,100,True
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,ridge,raw,rmse,20.116943049074276,reconstructed,100,PENDING
C01,FD001,primary,13,C01_2be1b54b5531_seed_13,outputs/c01_hardened,2be1b54b55316be988cc9a21c5c6acf6294882a5,3ab3d18ac655c59359338678a72c4a45b53c621149d79346fd845069b81772b2,dfa3dd94a1f6139a271c3266ed315c376b74bd13bdc8e47982440c86dd89a833,d0eef152dc4f2420db21c7d16066c45ba54ceb2d2ed452aaf55cc100dfa34448,ridge,raw,mae,15.520629605044277,reconstructed,100,PENDING
